"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-06","10.51"," 2322"," 2322","0.71",,"58","68","47",,"  290","  290","44.1","55.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-07","8.72"," 0201"," 0200","0.01",,"40","46","34",,"  330","  330","23.0","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-08","5.82"," 1200"," 1359","0.00",,"34","43","24",,"  280","  280","16.1","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-09","6.26"," 1259"," 1411","0.00",,"36","47","25",,"  240","  250","13.0","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-10","8.95"," 1309"," 1308","0.00",,"34","44","23",,"  260","  260","17.0","19.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-11","6.71"," 1426"," 1425","0.00",,"34","47","21",,"  230","  230","16.1","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-12","5.82"," 1354"," 1326","0.00",,"33","47","18",,"  190","  190","13.0","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-13","5.59"," 1536"," 1547","0.00",,"34","50","18",,"  340","  360","14.1","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-14","5.59"," 1616"," 0118","0.00",,"31","42","20",,"  220","   10","10.1","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-15","8.95"," 1336"," 1359","0.00",,"40","55","25",,"  240","  250","25.1","30.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-16","3.13"," 1741"," 1729","0.04",,"31","39","22",,"  340","  360","13.0","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-17","8.95"," 1444"," 1442","0.00",,"29","37","21",,"  320","  320","21.9","28.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-18","9.84"," 1416"," 1442","0.00",,"29","44","14",,"  150","  160","21.9","28.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-19","10.29"," 0241"," 0241","0.15",,"34","45","23",,"  210","  210","25.9","36.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-20","5.59"," 0309"," 0309","0.02",,"29","34","24",,"   10","   10","13.0","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-21","7.61"," 2302"," 2331","0.21",,"32","39","24",,"  280","  280","17.9","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-22","16.55"," 1245"," 1242","0.00",,"16","24","7",,"  270","  260","29.1","36.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-23","8.95",,,"0.00",,"13","20","5",,,,,"0.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-24","10.07"," 1234"," 1227","0.00",,"18","27","8",,"  270","  250","25.9","32.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-25","10.51"," 1456"," 1455","0.00",,"20","29","10",,"  210","  220","19.9","23.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-26","9.40"," 1036"," 1147","0.00",,"20","32","8",,"  260","  270","21.9","29.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-27","10.29"," 1227"," 1226","0.00",,"23","37","8",,"  210","  200","23.0","30.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-28","3.36"," 1513"," 1642","0.00",,"26","40","12",,"  190","  130","10.1","11.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-29","11.86"," 1607"," 2114","0.05",,"24","35","12",,"  330","  350","29.1","36.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-30","9.84"," 2355"," 2354","0.00",,"14","19","8",,"  330","  330","19.9","28.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-31","10.29"," 1415"," 1635","0.01",,"17","20","13",,"  250","  280","19.9","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-01","7.61"," 0542"," 0459","0.00",,"10","14","6",,"  310","  290","15.0","19.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-02","16.78"," 1332"," 1331","0.39",,"20","29","10",,"   80","   70","31.1","40.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-03","18.57"," 1047"," 1045","0.03",,"21","33","9",,"  210","  220","30.0","38.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-04","13.87"," 1240"," 0357","0.00",,"4","10","-2",,"  240","  220","21.0","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-05","7.38"," 1313"," 1357","0.00",,"-6","2","-14",,"  200","  200","15.0","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-06","12.30"," 1421"," 1547","0.00",,"14","26","2",,"  240","  270","23.0","29.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-07","7.83"," 1159"," 1128","0.00",,"7","15","-1",,"  250","  260","16.1","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-08","7.16"," 2142"," 2141","0.06",,"6","17","-5",,"  350","  360","14.1","17.0",,,,,
